一级知识点,二级知识点,三级知识点,四级知识点,五级知识点,六级知识点,七级知识点,前置知识点,后置知识点,关联知识点,知识点说明
函数,,,,,,,,二元关系;集合的特征函数;集合运算;二元关系;函数运算;特殊函数;变换;双射;满射函数;单射函数;因变量;自变量;值域;定义域;分类器;深度学习;特殊函数;基本类型;集合定义;莱布尼茨;笛卡尔;伽利略;置换函数;散列函数;特征函数;二元关系;单值性;关系理论;集合论;对应;映射,,"特性: 具有特定运算及运算性质；集合到集合的映射，元素唯一对应；单值性，定义域覆盖A，每个x对应唯一y；交、并、补、差运算结果不一定是函数关系
；用途: 解决集合相关问题的基础工具；描述集合间元素对应关系；用于建模和解决实际问题
；定义: 满足单值性要求的特殊二元关系；表示一个量对另一个量的依赖关系；从集合A到B的关系，对每个x∈A存在唯一y∈B，满足<x,y>∈f；从集合A到集合B的特殊对应关系，可一对一或多对一；从集合A到集合B的映射关系；表示特殊二元关系的集合；通过二元关系与集合角度定义的数学对象；映射关系的数学表达；数学中描述两个变量之间关系的规则
；作用: 沟通学科桥梁，实际问题求解的基本方法论
；历史: 由莱布尼茨提出，集合论和关系理论完善定义
；来源: 伽利略观察到变量间的制约关系，莱布尼茨首次使用函数一词
；值域: 可以是B的子集或B自身
；记法: f:A→B或y=f(x)
；条件: f⊆A×B，且满足单值性
；符号: 由欧拉发明的$f(x)$
；应用: 广泛应用于自然科学、工程技术和社会科学；如深度学习中构造分类器；在数学和计算机科学中广泛应用
；相等: f=g当且仅当dom f=dom g且对任意x∈dom f有f(x)=g(x)
；类型: 数学对象；单射、满射、双射、非单射非满射
"
命题演算与推理,,,,,,,,命题逻辑的应用;命题逻辑的演绎推理;主合取范式;命题公式的范式;等值演算;命题公式;等值演算;命题公式;等值演算;命题公式;命题的概念与运算;命题的概念与运算;数理逻辑,,"定义: 通过命题进行逻辑演算与推理的过程；以命题符号演算与推理为处理对象的数学理论；研究命题的逻辑运算和推理规则的数学分支；研究命题逻辑中的推理和演算方法；通过真值表证明基本等值关系，进行命题公式等值演算的推理过程；研究命题逻辑及其推理规则的数学分支；研究命题逻辑的演算和推理规则；研究命题及其逻辑关系的推理方法；研究命题及其逻辑关系的演算和推理方法；研究命题公式及其推理规则的逻辑系统；研究命题逻辑的推理方法和规则的数学分支。
；作用: 培养逻辑思维，提高分析问题能力；简化命题公式演算过程；提供命题逻辑的推理基础。
；地位: 数理逻辑学的基础内容，逻辑学体系中的重要部分。
；起源: 由布尔代数系统初步实现莱布尼茨梦想。
；工具: 基本等值关系式和代入定理、替换定理。
；内容: 介绍命题逻辑的基本理论与应用；包括命题公式、等值演算、内否与对偶等概念。
；应用: 用于判断命题公式的等值性和类型；用于逻辑电路设计和逻辑推理。
；学习起点: 命题的概念和运算。
"
图,,,,,,,,邻接矩阵;邻接矩阵;关联矩阵;邻接矩阵;哈斯图;关系图;图模型;图论,,"特性: 简洁表达思维轨迹，描述复杂思维蓝本；只考虑点和线之间的结构信息，不考虑位置信息。
；用途: 用于表示和分析结点与边之间的关系。
；定义: 用点表示事物、点间连线表示事物联系的模型；由点和连接两点的线组成的几何模型；由结点集合和边集合组成的模型；由结点和边组成的数学模型。
；作用: 揭示结点间网状拓扑结构，强大知识表达能力；表示事物之间复杂关系。
；类型: 包括无向图和有向图。
"
图的基本理论,,,,,,,,可达性;图的运算与结构,,"定义: 研究图的基本性质和理论的数学分支。
；应用: 用于分析和解决工程中的活动安排问题。
"
定理9.1,,,,,,,,基本通路;基本回路;无向树,,"内容: 无向图是树的等价条件，包括连通无回路、边数等于顶点数减一、增加边形成唯一基本回路等。
"
库拉托夫斯基定理,,,,,,,,库拉托夫斯基图,,"特性: 给出了平面图的判定标准，但无有效算法。
；用途: 判定图是否为平面图。
；定义: 图是平面图的充分必要条件是其任何子图不同胚于K5或K3,3。
"
抽象代数结构,,,,,,,,群结构;交换群;群;含幺半群;半群;广群;代数运算系统;抽象运算;抽象对象;代数结构;信息安全;大数据信息处理与知识发现;自动机与形式语言;信息编码与纠错;计算模型;抽象数据类型;同构;同态;代数结构的运算性质;子代数;代数结构的基本概念;通用性;可运算性;初等代数,,"定义: 在初等代数基础上进一步抽象，研究运算和运算性质的更高层次通用性和普适性；由抽象对象和抽象运算构成的集合及其运算性质的研究；研究代数系统结构性质的数学分支。
；意义: 培养高度抽象思维能力，提供宽广视野。
；作用: 使代数学转向研究运算性质和结构，开辟新纪元。
；特征: 只含一个二元运算
；特点: 以主动方式定义，形成抽象代数运算系统。
；示例: 集合代数、命题代数等具有相同运算性质的不同表现形式。
；类型: 包括广群、半群、含幺半群、群、交换群等
；应用: 用于设计抽象数据类型、计算模型，应用于信息编码、自动机等领域。
"
拉格朗日定理,,,,,,,,商群;子群;有限群,,"用途: 用于研究群的子群结构划分问题；考察群的结构及其子群的个数；用于考察群的子群结构性质。
；定义: 有限群的阶是其子群阶的倍数。
；相关: 与同余关系、正规子群和商群相关。
；结论: 子群的阶是群的阶的因子。
；内容: 群的子群阶数整除群的阶数。
"
树的基本理论,,,,,,,,生成树方法;树模型;B树模型,,"定义: 研究树结构及其相关性质和操作的数学理论；研究树结构及其性质的理论
；作用: 支撑树模型算法的设计与应用。
；应用: 用于构建和优化树模型算法；用于计算关键路径，优化工程安排。
"
欧拉公式,,,,,,,,,,"内容: 对于连通平面图，结点数n、边数m和面数r满足n-m+r=2。
"
离散数学,,,,,,,,群代数结构模型;关系模型;图模型;代数结构;组合分析;数论;图论;数理逻辑;计数基础;集合论,,"组成: 由多个数学分支如集合论、数理逻辑、图论等组成。
；定义: 研究离散量的概念、关系、结构和运算性质的综合数学学科。
；作用: 支撑计算机科学，满足计算机相关学科对离散量的需求。
"
算术基本定理,,,,,,,,素数,,"用途: 说明素数是构成所有整数的基本要素。
；定义: 任何大于1的整数可唯一表示为素数的乘积。
；重要性: 在整数理论和初等数学中具有重要地位。
；内容: 给出整数素数分解的存在性与唯一性。
"
算法,,,,,,,,生成树方法;B树的查找;数据结构;控制结构;基本运算和操作;可行性;输出;输入;确定性;有穷性,,"用途: 解决图模型中的特定问题，如着色和匹配；用于树的操作，如插入、删除和查找等；生成树方法计算关键道路。
；表示: 自然语言、流程图、伪代码等。
；定义: 通过运算按步骤求解问题的指令序列；解决问题的明确步骤和规则。
；性质: 有穷性、确定性、输入、输出、可行性。
；特点: 针对图结构设计的高效计算方法。
；要素: 基本运算和操作、控制结构、数据结构。
"
谓词演算与推理,,,,,,,,无∃型前束范式;命题函数;推理理论;范式;等值演算;谓词公式;约束变元;量词;谓词;个体词,,"用途: 使用无∃型前束范式进行谓词演算和推理。
；定义: 在命题逻辑基础上引入个体词、谓词、量词等概念，进行概念层次的逻辑演算与推理；研究含有变元的谓词及其逻辑推理的数学分支。
；作用: 提供比命题逻辑更丰富、更深刻的信息表达与符号计算方法。
；内容: 包括谓词和量词概念、谓词公式、等值演算、范式、推理理论等。
；应用: 数据库模型设计、词法分析、知识发现、专家系统、自然语言理解等。
"
谓词逻辑,,,,,,,,个体词;谓词;量词;命题函数;谓词符号;符号演算机制;理论体系;命题函数;特性谓词;符号化;命题逻辑;P规则;T规则;CP规则;基本等值公式;基本蕴涵公式;形式语言;摘香蕉问题;数据库;网络通信协议;词法分析;代码编译;知识发现;人工智能;知识工程;知识表示;关系数据模型;机器证明;自动问题求解;规划问题;关系演算语言;问题表示;产生式表示法;US规则;ES规则;UG规则;EG规则;命题逻辑;命题逻辑;逻辑推理;个体域;量词;约束变量;自由变量;概念;判断;推理;命题逻辑,,"关系: 是命题逻辑的自然推广。
；规则: 可引用命题演算的P规则、T规则、CP规则及谓词基本公式。
；定义: 将命题分解为个体词和谓词的逻辑系统；对原子命题的主语和宾语进行抽象和泛化，形成含变量的语句；研究含变元的谓词及其推理的逻辑系统；命题逻辑的自然扩展，涵盖命题逻辑知识体系；使用抽象数学符号表达人类思维基本规律的形式语言；描述事物状态和关系的逻辑系统。
；作用: 表示一类命题，随变量指派得到具体命题；计算机智能信息处理的基本工具和理论基础。
；来源: 由命题逻辑发展而来。
；核心: 个体词、谓词和量词；谓词符号的表达系统和演算机制。
；特点: 定义谓词公式间的等值和永真蕴含关系；引入个体域、个体词、量词及约束变量和自由变量。
；方法: 假定相同个体域，先消除量词转化为命题推理，再还原结论。
；地位: 数理逻辑的重要组成部分。
；内容: 包括命题函数、量词与特性谓词等概念。
；思路: 与命题逻辑类似，通过符号化抽象现实问题。
；应用: 用于问题求解；用于谓词公式的化简、变形和推理；知识表示、推理、数据库关系模型、机器证明、自动问题求解；用于人工智能知识表示和信息识别。
"
霍尔婚姻定理,,,,,,,,完备匹配,,"定义: 二分图存在X-完备匹配的充分必要条件。
；条件: X中任意k个结点至少与Y中k个结点相邻。
；应用: 判断二分图是否存在X-完备匹配。
"
,B树,,,,,,,B树性质;插入操作;删除操作;插入操作;查找操作;叶子结点;结点分支数;B树阶;数据库系统;磁盘I/O操作;红黑树;平衡多路查找树,,"特性: 节点包含多个键和子节点，保持树的高度较低；保持树高平衡，提高操作性能；每个结点可有多孩子，高度为O(log n)；每个结点关键字个数不大于m-1。
；用途: 用于数据库和文件系统的索引结构；用于信息查找等场合。
；定义: 一种多路平衡查找树；一种平衡多路查找树；为磁盘等存储设备设计的平衡多路查找树。
；阶: 结点孩子数最大值，用m表示，m≥3。
；性质: 结点分支数最多m，最少根结点2，非根结点⌊m/2⌋；分支数=关键字数+1；关键字递增；底层结点为叶子且同层。
；应用: 数据库系统等动态集合操作。
；插入: 新结点一般插在第B层。
"
,RSA算法,,,,,,,大整数素因子分解;费马小定理;欧拉定理;非对称式加密,同余算术,"用途: 对互联网传送的数据进行加密，常用于数字签名
；安全性: 依赖于大整数素因子分解的困难性
；提出者: Rivest、Shamir 和 Adleman
；原理: 基于同余算术、欧拉定理和费马小定理
；类型: 非对称加密算法
"
,t-条件,,,,,,,度;完备匹配,,"用途: 简化判断二分图是否存在X-完备匹配。
；判断: 计算X中结点最小度和Y中结点最大度。
；定义: 二分图中X中每个结点至少关联t条边且Y中每个结点至多关联t条边的条件。
"
,不可数集合,,,,,,,"阿列夫;开区间(0, 1)",,"定义: 与开区间(0, 1)等势的集合。
；特点: 比可数集规模更大。
"
,中国余数定理,,,,,,,,RSA算法,"用途: 提供同余方程组的具体求解方法；在RSA解密过程中，用于恢复明文
；定义: 确认同余方程组在模两两互素时有唯一解的定理；解决一组同余方程的定理
；结论: 同余方程组有唯一解
；条件: 模数两两互素
；性质: 利用互素模数的性质简化计算
"
